399: R' U' R2 F2 U' B' U' B' D2 L' 
400: R' U' B U L2 F2 D L2 D2 L' 
401: R' U' B D F2 U' L2 D2 L' R2 
402: R' U' B D F2 U' L' D2 L2 R2 
403: R' U' B D F2 L U L2 D2 L2 
404: R' U' B D F2 L2 D F2 D L' 
405: R' U' B D F2 L2 D2 L' U' R2 
406: R' U' B D F2 L' D2 L2 U' R2 
407: R' U' B D2 R D' F2 L R2 D2 
408: R' U' B D' R2 U2 B2 L' U R2 
409: R' U' B L D' R2 U2 B2 L' R 
410: R' U' B L F' D F' L' D2 L2 
411: R' U' B L2 D' R2 U2 B2 L' R2 
412: R' U' B L2 F' D F' L2 D2 L' 
413: R' U' B L' D L R F2 R2 D2 
414: R' U' B L' D L R2 F2 R D2 
415: R' U' B L' D F2 L2 D2 L' R' 
416: R' U' B L' D F2 L' D2 L2 R' 
417: R' U' B R F2 U' D B2 L D 
418: R' U' B R F2 D L D' R2 D2 
419: R' U' B2 L2 B' D F2 L2 D2 L' 
420: R' U' B2 R2 F' U' F' R B2 D2 
421: R' U' B' L2 B2 D F2 L2 D2 L' 
422: R' U' B' R U' D R2 B2 L' D 
423: R' U' B' R F2 R2 B2 D L D 
424: R' U' B' R2 U' B2 D R2 D L' 
425: R' U' B' R2 F U' F B2 D2 L' 
426: R' U' B' R2 F2 U R U2 B2 D2 
427: R' U' B' R2 F2 U R B2 D2 F2 
428: R' U' B' R2 F2 U R2 D2 F2 L 
429: R' U' B' R2 F' U' F' B2 D2 L' 
430: R' D2 F U2 R2 F B D L R2 
431: R' D2 F U2 F R2 B D L R2 
432: R' D2 F U2 F B R2 D L R2 
433: R' D2 F U2 B R2 F D L R2 
434: R' D2 F2 U2 B' R2 B2 D L R2 
435: R' D2 B U2 R2 D R2 F2 L F2 
436: R' D2 B U2 R2 D F2 R2 F2 L 
437: R' D' F U2 B R2 F D L F2 
438: R' D' F' L2 F2 U2 F D' L F2 
439: R' F U2 D2 B R2 U F2 D L 
440: R' F U2 D2 B R2 F2 D L R2 
441: R' F U2 R2 D' L' F' R2 D' B' 
442: R' F U2 F D B R2 D L F 
443: R' F U2 F D2 R2 B D L R2 
444: R' F U2 F D2 B R2 D L R2 
445: R' F B L2 F D' L D2 L D2 
446: R' F2 U D B D' B' D2 B2 L 
447: R' F2 U2 D' B R2 F D F' L 
448: R' F2 U2 B R2 D2 R2 D' L R2 
449: R' F2 D B D' B' U D2 B2 L 
450: R' F2 D2 B' L B2 D L R D' 
451: R' F2 D' L2 D' F' L' D' L D 
452: R' F2 D' L2 F' D B D2 F L 
453: R' F2 D' B U2 R2 F D F' L 
454: R' F2 L2 R2 F' R2 D L2 D2 L 
455: R' F2 L2 R' F' R D L2 D2 L 
456: R' F2 R D' F L2 F' R' D' L 
457: R' F2 R2 D2 B L D L R2 D' 
458: R' F2 R2 D' F L2 F' R2 D' L 
459: R' F2 R2 F D' L2 F' R2 D' L 
460: R' F2 B U2 R2 D2 R2 D' L R2 
461: R' F2 B D' L2 D' L' D' L D 
462: R' F2 B' U R2 D' R2 D' B2 L 
463: R' F2 B' D' L' U' L' F2 D' F2 
464: R' F2 B' R2 U L R F2 B2 R 
465: R' F2 B' R2 U L R B2 R F2 
466: R' F2 B' R2 U R D2 L F2 B2 
467: R' F2 B' R2 U R2 D2 B2 L F2 
468: R' F' L2 U F B U B D' L' 
469: R' F' L2 F2 U2 F U' B2 D' L 
470: R' F' L2 B2 D2 F' D' L2 D2 L' 
471: R' B U D2 R2 D B2 R2 U2 L' 
472: R' B U2 D2 R2 B2 D R2 U2 L' 
473: R' B U2 L U D F2 L' D2 L2 
474: R' B U' D F2 U' L2 D2 L' R2 
475: R' B U' D F2 U' L' D2 L2 R2 
476: R' B U' D F2 L U L2 D2 L2 
477: R' B U' D F2 L2 D F2 D L' 
478: R' B U' D F2 L2 D2 L' U' R2 
479: R' B U' D F2 L' D2 L2 U' R2 
