390: F' U' F' B' R F U' B L2 B 
391: F' R B' U' D F' R' D2 F2 L2 
392: F' B' U' F' B' R F B L2 B 
393: B U R F2 U F' R' B2 U' L2 
394: B U2 F L2 D2 L' D' F' R' B2 
395: B D2 R2 B' L' U2 D' F' R' B2 
396: B R B' R2 D F2 B' U R2 D2 
397: B R' U' D' F' U F2 B' L2 D2 
398: B R' U' D' F' B' U F2 L2 D2 
399: B R' D' B' U' F' U F2 L2 D2 
400: B R' F' B' D F2 R2 B D B2 
401: B R' B2 L2 F' U' L2 R2 U' B 
402: B2 U F L2 R B2 D' F L R2 
403: B2 U' R' B' D2 R D' B' R2 D 
404: B' U' F2 U2 R F U B2 L' R' 
405: B' U' F2 B' U2 R F U B2 L' 
406: B' D2 L' R' F' U' L2 R2 U' B 
407: B' R U' F' B' D2 R2 D F2 L2 
408: B' R U' B2 L2 F B U' B2 R2 
409: B' R' D2 F U D' F B' R2 D2 
410: B' R' F' U' B2 L2 F' R2 U' B 
411: B' R' F' B' D F2 B' D' F D2 
412: B' R' B2 U' F R2 U' D' B D2 
413: B' R' B2 U' B D F B' R2 D 
414: B' R' B' L' F2 D F' U2 B' D 
